                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     57,               0.036662,                0.01689,               0.031619,              0.0019461,                0.55975,                0.99057,                0.86525,                 0.6021,                0.55975,                0.99057,                0.86525,                0.59817,               0.044665,               0.012608,               0.019505,              0.0021986,                0.00748,                0.00748,                0.00748
                     58,               0.042642,               0.015903,               0.037306,              0.0018664,                0.60617,                0.92005,                0.86558,                0.65142,                0.60617,                0.92005,                0.86558,                0.63136,               0.031599,               0.012495,               0.017625,              0.0021742,               0.007435,               0.007435,               0.007435
                     59,               0.036128,                0.01549,               0.033727,              0.0017446,                 0.5441,                 0.8239,                 0.7783,                0.58564,                 0.5441,                 0.8239,                 0.7783,                0.55731,               0.033665,               0.012701,               0.017295,              0.0019502,                0.00739,                0.00739,                0.00739
                     60,               0.039342,               0.015583,               0.037326,              0.0016608,                0.49577,                0.74057,                0.73875,                0.55321,                0.49577,                0.74057,                0.73875,                0.53821,               0.033539,               0.012618,               0.016962,                0.00186,               0.007345,               0.007345,               0.007345
                     61,               0.039635,               0.015944,               0.036049,              0.0019291,                0.65225,                 0.8977,                0.84198,                0.62262,                0.60727,                 0.8239,                0.77721,                0.57065,               0.032621,               0.013042,               0.017146,              0.0018404,                 0.0073,                 0.0073,                 0.0073
                     62,               0.037094,               0.017409,               0.033769,              0.0018462,                0.78767,                0.87397,                0.90931,                0.64686,                0.78767,                0.87397,                0.90931,                0.62812,                0.03221,               0.012612,               0.017454,              0.0019681,               0.007255,               0.007255,               0.007255
                     63,                0.03932,               0.015603,               0.033112,              0.0017857,                0.77451,                0.90723,                0.83198,                 0.6636,                0.77451,                0.90723,                0.83198,                0.65949,                0.02636,               0.012503,                0.01592,              0.0020387,                0.00721,                0.00721,                0.00721
                     64,                0.03312,                0.01565,               0.032846,              0.0017964,                0.63395,                0.97345,                0.73219,                0.49099,                0.63395,                0.97345,                0.73219,                0.51631,               0.039219,               0.012771,                0.01815,              0.0020407,               0.007165,               0.007165,               0.007165
                     65,               0.038003,               0.016329,               0.034136,              0.0018316,                0.73332,                0.74057,                0.75153,                0.58491,                0.73332,                0.74057,                0.75153,                0.54605,               0.024528,               0.012922,                0.01591,              0.0020911,                0.00712,                0.00712,                0.00712
                     66,               0.032783,               0.018412,               0.036921,              0.0017304,                0.83197,                0.74057,                 0.8862,                0.65276,                0.83197,                0.74057,                 0.8862,                0.63844,               0.037337,               0.013423,               0.018608,               0.002005,               0.007075,               0.007075,               0.007075
                     67,               0.038704,               0.015234,                0.03165,              0.0015516,                0.70342,                0.76969,                0.86076,                0.67694,                0.70342,                0.76969,                0.86076,                0.65668,               0.027042,               0.013385,               0.016392,               0.002006,                0.00703,                0.00703,                0.00703
                     68,               0.032869,               0.014896,               0.032031,              0.0015754,                0.85292,                 0.8239,                0.91128,                0.66657,                0.85292,                 0.8239,                0.91128,                  0.652,               0.034155,               0.013258,               0.017355,              0.0017881,               0.006985,               0.006985,               0.006985
                     69,                0.03727,               0.016426,               0.036028,              0.0016145,                0.77324,                 0.8239,                0.90612,                 0.6735,                0.77324,                 0.8239,                0.90612,                0.65126,               0.029558,               0.013378,               0.016138,              0.0020374,                0.00694,                0.00694,                0.00694
                     70,               0.035126,               0.015464,               0.032323,              0.0016984,                0.85547,                 0.8239,                0.88698,                0.66499,                0.85547,                 0.8239,                0.88698,                0.62506,               0.023775,               0.013494,               0.015137,              0.0021029,               0.006895,               0.006895,               0.006895
                     71,               0.032183,               0.015342,               0.028182,              0.0016141,                0.67761,                0.74057,                0.73497,                0.55558,                0.67761,                0.74057,                0.73497,                0.54937,               0.033286,               0.013559,               0.016897,               0.002072,                0.00685,                0.00685,                0.00685
                     72,               0.034439,               0.014236,               0.031551,              0.0015592,                0.67956,                0.73369,                0.68724,                0.54155,                0.67956,                0.73369,                0.68724,                0.50532,               0.025908,               0.013183,               0.015191,              0.0020404,               0.006805,               0.006805,               0.006805
                     73,               0.028752,                0.01454,               0.033103,              0.0015606,                0.35058,                 0.5739,                 0.5509,                0.39464,                0.35058,                 0.5739,                 0.5509,                0.39809,               0.036478,               0.013393,               0.016815,              0.0021228,                0.00676,                0.00676,                0.00676
                     74,               0.035733,               0.013566,               0.032932,              0.0015172,                0.52603,                0.69056,                0.63706,                0.46807,                0.52603,                0.69056,                0.63706,                0.45348,               0.030218,               0.013099,               0.016124,              0.0021195,               0.006715,               0.006715,               0.006715
                     75,                0.03369,               0.016624,               0.032234,               0.001793,                0.40993,                0.63609,                0.55496,                0.43225,                0.40993,                0.63609,                0.55496,                0.40118,               0.030421,               0.013182,               0.015731,              0.0023521,                0.00667,                0.00667,                0.00667
                     76,               0.033776,               0.013831,               0.031779,              0.0016626,                0.71715,                0.73024,                0.73588,                0.54577,                0.71715,                0.73024,                0.73588,                0.53577,               0.026144,               0.012767,               0.015306,               0.002323,               0.006625,               0.006625,               0.006625
                     77,               0.034115,               0.013668,                0.03237,              0.0017007,                0.62644,                0.74057,                0.72726,                0.48187,                0.62644,                0.74057,                0.72726,                0.45489,               0.030501,               0.012901,               0.016109,              0.0023225,                0.00658,                0.00658,                0.00658
                     78,               0.032382,               0.014022,               0.029168,              0.0016822,                0.74696,                0.80013,                 0.8115,                0.59354,                0.74696,                0.80013,                 0.8115,                0.56544,               0.030239,               0.012946,                 0.0155,              0.0022454,               0.006535,               0.006535,               0.006535
                     79,               0.034431,               0.015663,               0.035943,              0.0017245,                0.67153,                0.74057,                0.74444,                0.57694,                0.67153,                0.74057,                0.74444,                0.57071,               0.025496,               0.012921,                0.01534,              0.0022615,                0.00649,                0.00649,                0.00649
                     80,               0.033361,               0.016125,               0.031457,              0.0017506,                0.86338,                 0.8239,                0.84378,                0.64476,                0.86338,                 0.8239,                0.84378,                0.64768,               0.028343,               0.012507,               0.015144,              0.0021396,               0.006445,               0.006445,               0.006445
                     81,               0.034589,               0.013693,               0.031718,              0.0016016,                0.81074,                 0.8239,                0.84102,                0.60979,                0.81074,                 0.8239,                0.84102,                0.56926,               0.028369,               0.012509,               0.015311,              0.0021197,                 0.0064,                 0.0064,                 0.0064
                     82,               0.031484,               0.015339,               0.029673,              0.0017339,                0.73038,                0.87974,                0.85197,                0.71002,                0.73038,                0.87974,                0.85197,                0.67478,               0.032108,               0.012904,               0.015995,              0.0021575,               0.006355,               0.006355,               0.006355
