                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     52,                0.05046,               0.019987,               0.039412,              0.0023743,                0.88279,                0.43396,                0.59603,                0.28419,                0.88532,                0.44376,                0.60201,                 0.2859,               0.055647,                0.01655,               0.020641,              0.0024261,                0.00847,                0.00847,                0.00847
                     53,               0.057428,               0.018409,               0.040066,              0.0022065,                0.46793,                0.65723,                0.58646,                 0.3638,                0.46793,                0.65723,                0.59327,                0.37782,               0.043076,                0.01576,               0.019331,              0.0025178,                0.00844,                0.00844,                0.00844
                     54,               0.051723,               0.018648,               0.042795,              0.0023204,                0.65857,                0.72973,                0.70475,                0.46709,                0.65857,                0.72973,                0.70619,                0.48863,               0.047248,               0.014957,               0.019545,              0.0022049,                0.00841,                0.00841,                0.00841
                     55,               0.054953,               0.019012,               0.037252,              0.0023968,                0.43375,                 0.8239,                0.74439,                0.50557,                0.43375,                 0.8239,                0.74017,                0.55064,               0.057296,               0.015804,               0.020734,              0.0024897,                0.00838,                0.00838,                0.00838
                     56,               0.057085,               0.017328,                0.03629,              0.0024616,                0.53675,                0.90301,                0.82549,                0.56356,                0.53675,                0.90301,                0.82992,                0.56173,               0.054479,               0.014972,               0.020663,              0.0026203,                0.00835,                0.00835,                0.00835
                     57,               0.059168,               0.021728,               0.042069,              0.0029827,                0.60376,                0.90723,                0.84395,                0.53683,                0.60376,                0.90723,                0.84395,                0.55232,               0.038735,               0.014615,               0.020367,              0.0028332,                0.00832,                0.00832,                0.00832
                     58,                0.04878,               0.016476,               0.036439,              0.0027954,                0.60376,                0.90723,                0.84395,                0.53683,                0.60376,                0.90723,                0.84395,                0.55232,               0.038735,               0.014615,               0.020367,              0.0028332,                0.00829,                0.00829,                0.00829
                     59,               0.052096,               0.018572,               0.035653,              0.0030706,                0.45412,                0.65723,                0.73764,                0.43074,                0.45412,                0.65723,                0.73521,                0.48046,               0.042352,               0.015068,               0.020908,              0.0030973,                0.00826,                0.00826,                0.00826
                     60,               0.045108,               0.018468,               0.037245,               0.002719,                0.54237,                 0.5739,                0.62383,                0.36825,                0.54237,                 0.5739,                0.61537,                0.39817,               0.038058,               0.015309,               0.020736,              0.0031784,                0.00823,                0.00823,                0.00823
                     61,               0.039534,               0.019267,               0.034945,              0.0029614,                0.43599,                 0.5739,                0.50846,                0.32648,                0.43599,                 0.5739,                0.50846,                0.35723,               0.031977,               0.015373,               0.020372,              0.0031639,                 0.0082,                 0.0082,                 0.0082
                     62,               0.036541,               0.018089,                  0.034,              0.0026983,                 0.5266,                 0.5739,                0.51448,                0.36904,                 0.5266,                 0.5739,                0.51448,                0.35997,               0.029231,               0.015705,               0.019239,              0.0030082,                0.00817,                0.00817,                0.00817
                     63,               0.039594,               0.018928,               0.033141,              0.0023535,                0.86253,                0.46226,                0.48448,                0.30163,                0.86253,                0.46226,                  0.489,                0.31831,               0.040836,               0.015394,               0.020093,              0.0025147,                0.00814,                0.00814,                0.00814
                     64,               0.048244,               0.016652,               0.037116,              0.0022888,                0.89756,                 0.4717,                0.50679,                0.29831,                0.89756,                 0.4717,                0.50679,                0.34105,               0.041612,               0.015381,               0.019674,              0.0022851,                0.00811,                0.00811,                0.00811
                     65,                  0.049,                0.01704,               0.036029,              0.0022274,                0.56516,                 0.5739,                0.59113,                0.27263,                0.56516,                 0.5739,                0.58595,                0.31284,               0.045526,               0.014552,               0.019848,              0.0021753,                0.00808,                0.00808,                0.00808
                     66,               0.047342,               0.017682,               0.037813,              0.0022972,                0.51161,                0.65723,                0.74554,                0.40378,                0.51161,                0.65723,                0.74554,                0.46211,                0.04068,               0.014492,               0.018742,              0.0020638,                0.00805,                0.00805,                0.00805
                     67,               0.046943,               0.018942,               0.040311,              0.0019842,                0.44457,                0.90723,                0.81453,                0.43633,                0.44457,                0.90723,                0.83062,                   0.46,               0.047929,               0.014561,               0.019183,              0.0019416,                0.00802,                0.00802,                0.00802
                     68,               0.046729,               0.019872,               0.038991,               0.002315,                0.64188,                0.90057,                0.91447,                0.69889,                0.64188,                0.90057,                0.91447,                0.68865,               0.034311,               0.014272,               0.018593,              0.0020256,                0.00799,                0.00799,                0.00799
                     69,               0.044072,               0.020388,                0.03901,               0.002336,                0.58666,                0.90723,                0.92072,                0.74357,                0.58666,                0.90723,                0.92018,                0.68681,               0.044162,               0.014512,               0.018808,              0.0019902,                0.00796,                0.00796,                0.00796
                     70,               0.047522,               0.017629,               0.042976,               0.002153,                0.61718,                0.94256,                0.91319,                0.66252,                0.61718,                0.94256,                0.91319,                0.68343,               0.035861,                 0.0141,               0.018182,              0.0019766,                0.00793,                0.00793,                0.00793
                     71,               0.041989,               0.017344,               0.034102,              0.0021046,                0.60162,                0.99057,                0.89018,                0.67068,                0.60162,                0.99057,                0.89018,                0.64547,               0.040995,               0.014666,               0.018579,                0.00198,                 0.0079,                 0.0079,                 0.0079
                     72,               0.045923,                0.01779,               0.038935,              0.0017665,                0.70896,                0.90723,                0.93696,                   0.71,                0.70896,                0.90723,                0.93696,                0.69757,               0.035238,               0.014126,               0.017422,              0.0019039,                0.00787,                0.00787,                0.00787
                     73,               0.044594,               0.018408,                0.03767,              0.0021356,                0.47521,                0.74931,                0.74494,                0.54119,                0.47521,                0.74931,                0.73696,                0.53597,               0.042702,               0.014478,               0.018576,              0.0019302,                0.00784,                0.00784,                0.00784
                     74,               0.046259,               0.018636,               0.033928,              0.0020138,                0.47521,                0.74931,                0.74494,                0.54119,                0.47521,                0.74931,                0.73696,                0.53597,               0.042702,               0.014478,               0.018576,              0.0019302,                0.00781,                0.00781,                0.00781
                     75,               0.050486,                0.01668,               0.032224,              0.0019168,                0.40717,                0.65723,                0.62544,                0.38707,                0.40717,                0.65723,                0.62783,                0.40898,               0.049266,               0.014578,               0.019227,               0.001935,                0.00778,                0.00778,                0.00778
                     76,               0.047098,               0.016814,               0.033948,              0.0019149,                0.71053,                 0.5739,                0.60662,                 0.4027,                0.71053,                 0.5739,                0.60998,                0.39707,               0.043283,               0.014714,               0.018397,              0.0019546,                0.00775,                0.00775,                0.00775
                     77,               0.041671,               0.018436,               0.035055,              0.0019492,                0.82444,                 0.5739,                0.67947,                0.48545,                0.82444,                 0.5739,                0.67947,                0.45353,               0.035324,               0.014717,               0.017105,              0.0019247,                0.00772,                0.00772,                0.00772
                     78,               0.037119,               0.018625,               0.037778,              0.0020113,                0.88108,                 0.5739,                0.69345,                0.52986,                0.88108,                 0.5739,                0.69345,                0.50419,               0.032787,               0.014805,               0.016872,              0.0018996,                0.00769,                0.00769,                0.00769
                     79,                0.04048,               0.019432,               0.030619,               0.002277,                0.44725,                0.65723,                0.72195,                0.55577,                0.44725,                0.65723,                0.71242,                0.51335,               0.035929,               0.015096,               0.017731,              0.0018996,                0.00766,                0.00766,                0.00766
